"stationId","utc_time","PM2.5","PM10","NO2","CO","O3","SO2","hour","month","weekday","year","season","lwPM2.5","lwPM10","lwO3","temperature","pressure","humidity","windSpeed","windDir","tdPM2.5","tdPM10","tdO3"
"dongsihuan_aq",2017-01-10 14:00:00,63,76,99,2.1,2,25,"14","1","3","2017","4",500,551,4,-4.6275,1025.035,37.6425,6.435,"SW",14,85.2427184466023,42
"dongsihuan_aq",2017-01-10 15:00:00,81,93,98,1.3,2,11,"15","1","3","2017","4",547,600,4,-5.21,1025.005,38.85,5.705,"S",13,82.9514563106799,45
"dongsihuan_aq",2017-01-10 16:00:00,82,87,92,1.3,3,14,"16","1","3","2017","4",562,604,4,-5.63,1024.825,40.1475,4.945,"S",11,80.6601941747575,49
"dongsihuan_aq",2017-01-10 17:00:00,78,79,83,1.2,4,20,"17","1","3","2017","4",537.5,602.5,3.44614317875876,-6.0525,1024.645,41.4425,4.2125,"E",9,78.3689320388351,53
"dongsihuan_aq",2017-01-10 18:00:00,81,89,83,1.2,2,14,"18","1","3","2017","4",513,601,3,-6.4725,1024.4625,42.7375,3.525,"NE",7,76.0776699029127,50
"dongsihuan_aq",2017-01-10 19:00:00,83,99,75,1.4,2,11,"19","1","3","2017","4",517,611,4,-6.825,1024.1675,43.72,3.0675,"NE",10,73.7864077669904,45
"dongsihuan_aq",2017-01-10 20:00:00,95,109,95,0.3,2,27,"20","1","3","2017","4",515,593,4.50509863097718,-7.1725,1023.875,44.705,2.6175,"E",12,71.4951456310681,50
"dongsihuan_aq",2017-01-10 21:00:00,97,110,120,4.5,2,34,"21","1","3","2017","4",525,573,5,-7.525,1023.5825,45.685,2.18,"E",9,69.2038834951458,50
"dongsihuan_aq",2017-01-10 22:00:00,82,98,120,4.6,2,31,"22","1","3","2017","4",530,580,5,-7.58,1023.33,45.5275,2.47,"E",12,66.9126213592235,50
"dongsihuan_aq",2017-01-10 23:00:00,74,83,119,3.8,2,29,"23","1","3","2017","4",545,590,5,-7.635,1023.08,45.3675,2.8,"E",11,64.6213592233012,40
"dongsihuan_aq",2017-01-11 00:00:00,64,71,109,3.7,2,26,"0","1","4","2017","4",525,556,5,-7.6875,1022.83,45.2075,3.155,"SE",9.66666666666667,62.3300970873788,40.3868076982218
"dongsihuan_aq",2017-01-11 01:00:00,62,80,102,3.6,2,28,"1","1","4","2017","4",473,471.25,4,-4.9425,1022.59,37.9675,3.525,"SE",8.33333333333334,60.0388349514565,41.3349634242069
"dongsihuan_aq",2017-01-11 02:00:00,63,89,106,3.1,2,36,"2","1","4","2017","4",426,386.5,4,-2.1925,1022.3525,30.73,3.9275,"SE",7.00000000000001,57.7475728155341,42.6588682502243
"dongsihuan_aq",2017-01-11 03:00:00,69,98,101.5,1.9,2,29,"3","1","4","2017","4",318,301.75,4,0.5575,1022.1125,23.49,4.3575,"SE",5.66666666666667,55.4563106796118,44.1729232485432
"dongsihuan_aq",2017-01-11 04:00:00,74,82,97,2.4,7,33,"4","1","4","2017","4",146,217,6,2.075,1021.4075,21.26,5.645,"SE",4.33333333333334,53.1650485436894,45.6915294914327
"dongsihuan_aq",2017-01-11 05:00:00,87,93,111,2.38792154316055,16,42,"5","1","4","2017","4",320,220.111111111111,7,3.6,1020.7075,19.03,6.94,"SE",3,50.8737864077671,47.0290880511619
"dongsihuan_aq",2017-01-11 06:00:00,70,77,92,2.37710177576273,19,27,"6","1","4","2017","4",341,223.222222222222,9,5.1175,1020.0025,16.8,8.235,"SE",11,48.5825242718447,48
"dongsihuan_aq",2017-01-11 07:00:00,51,61,76,2.36628200836491,23,24,"7","1","4","2017","4",374,226.333333333333,12,3.0325,1019.58,20.7525,7.7875,"SE",22,46.2912621359223,50
"dongsihuan_aq",2017-01-11 08:00:00,51,45,80,2.35546224096709,21,19,"8","1","4","2017","4",351,229.444444444444,11,0.9425,1019.1575,24.7025,7.3475,"E",30,44,54
"dongsihuan_aq",2017-01-11 09:00:00,88,119,110,2.34464247356928,11,20,"9","1","4","2017","4",322,232.555555555556,5,-1.1475,1018.735,28.6525,6.925,"E",36,40,42
"dongsihuan_aq",2017-01-11 10:00:00,105,115,103,2.33382270617146,9,31,"10","1","4","2017","4",326,235.666666666667,3,-1.4475,1018.9725,31.785,7.7325,"E",48,55,38
"dongsihuan_aq",2017-01-11 11:00:00,86,100,101,2.32300293877364,9,19,"11","1","4","2017","4",356,238.777777777778,3,-1.74,1019.21,34.9175,9.69,"E",62,63,30
"dongsihuan_aq",2017-01-11 12:00:00,74,71,94,2.31218317137582,11,23,"12","1","4","2017","4",372,241.888888888889,3,-2.04,1019.445,38.0525,12.2275,"NE",86,90,20
"dongsihuan_aq",2017-01-11 13:00:00,28,42,64,2.301363403978,19,22,"13","1","4","2017","4",373,245,3,-2.345,1019.5825,40.7525,12.13,"NE",120,117,13
"dongsihuan_aq",2017-01-11 14:00:00,30,22,49,2.29054363658018,28,14,"14","1","4","2017","4",357,248.111111111111,3,-2.6525,1019.72,43.4525,12.035,"NE",141,144,5
"dongsihuan_aq",2017-01-11 15:00:00,65,86,89,2.27972386918236,1,39,"15","1","4","2017","4",241,251.222222222222,2,-2.955,1019.86,46.155,11.955,"NE",140,127,2
"dongsihuan_aq",2017-01-11 16:00:00,60,84,86,2.26890410178454,12,26,"16","1","4","2017","4",160,254.333333333333,2,-3.2325,1019.9075,46.5225,12.1075,"NE",98,110,3
"dongsihuan_aq",2017-01-11 17:00:00,50,74,73,2.25808433438672,4,30,"17","1","4","2017","4",145,257.444444444445,2,-3.51,1019.955,46.8875,12.34,"E",82,100,2
"dongsihuan_aq",2017-01-11 18:00:00,28,26,32,2.2472645669889,28,19,"18","1","4","2017","4",143,260.555555555556,2,-3.7875,1020.0025,47.255,12.6375,"E",24,29,29
"dongsihuan_aq",2017-01-11 19:00:00,46,55,78,2.23644479959108,9,34,"19","1","4","2017","4",151,263.666666666667,2,-4.145,1019.9375,47.425,12.485,"E",6,21,47
"dongsihuan_aq",2017-01-11 20:00:00,49,53,81,2.22562503219327,4.38859363252538,29,"20","1","4","2017","4",202,266.777777777778,2,-4.5025,1019.8675,47.59,12.3425,"E",5,12,52
"dongsihuan_aq",2017-01-11 21:00:00,44,54,88,2.21480526479545,1,26,"21","1","4","2017","4",225,269.888888888889,2,-4.8625,1019.8,47.76,12.215,"NE",6,8,51
"dongsihuan_aq",2017-01-11 22:00:00,45,57,106,2.20398549739763,6,30,"22","1","4","2017","4",273,273,3,-5.08,1019.7275,47.55,11.4875,"N",7,10,46
"dongsihuan_aq",2017-01-11 23:00:00,23,40,68,2.19316572999981,17,22,"23","1","4","2017","4",299,366,4,-5.2975,1019.66,47.34,10.7775,"N",5,15,40
"dongsihuan_aq",2017-01-12 00:00:00,28,38,46,2.18234596260199,32,21,"0","1","5","2017","4",286,318,3,-5.515,1019.585,47.1325,10.085,"N",6,16,34
"dongsihuan_aq",2017-01-12 01:00:00,39,50,73,2.17152619520417,23,25,"1","1","5","2017","4",279,280,3,-3.1975,1018.99,40.68,8.3425,"N",12,19,27
"dongsihuan_aq",2017-01-12 02:00:00,40,77,79,2.16070642780635,15,22,"2","1","5","2017","4",278,277.708737864078,3,-0.88,1018.3975,34.23,6.6825,"N",10,29.5,44
"dongsihuan_aq",2017-01-12 03:00:00,29,28,19,2.14988666040853,55,18,"3","1","5","2017","4",275,275.417475728155,3,1.44,1017.81,27.775,5.1825,"N",6,40,58
"dongsihuan_aq",2017-01-12 04:00:00,23,38,21,2.13906689301071,61,20,"4","1","5","2017","4",260,273.126213592233,4,2.59,1017.035,25.5825,5.425,"NE",7,34.3333333333333,63
"dongsihuan_aq",2017-01-12 05:00:00,39,41,36,2.12824712561289,46,16,"5","1","5","2017","4",249,270.834951456311,6,3.7425,1016.265,23.39,7.16,"E",5,28.6666666666667,64
"dongsihuan_aq",2017-01-12 06:00:00,73,57,52,2.11742735821507,49,29,"6","1","5","2017","4",227,268.543689320389,9,4.89,1015.4925,21.1975,9.6125,"SE",5,23,65
"dongsihuan_aq",2017-01-12 07:00:00,69,73,58,2.10660759081726,44,27,"7","1","5","2017","4",230,266.252427184466,7,3.135,1015.175,25.9075,9.3625,"SE",3,26,65
"dongsihuan_aq",2017-01-12 08:00:00,90,94,69,2.09578782341944,37,33,"8","1","5","2017","4",204,263.961165048544,6,1.375,1014.8575,30.6225,9.3,"SE",6,37,62
"dongsihuan_aq",2017-01-12 09:00:00,108,115,73,2.08496805602162,31,33,"9","1","5","2017","4",199,261.669902912622,4,-0.385,1014.5425,35.335,9.4225,"SE",8,32,56
